scenario_id,review_hash,source_url,clause,pdf_page,anchor,question_1,question_2,guidance,decision,reviewer,reviewed_at,notes
appointments-11,675e0ed20e4e2a137c6385b678e9ca9b5aaaf99ff03e481791a6b7a4f60f95ce,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(b),6,the purpose of each of the processing operations,What should AfyaPlus staff in Kenya do when one consent form covers several appointment-data uses?,"At an AfyaPlus facility in Kenya, how should staff handle this: one consent form covers several appointment-data uses?",Explain each processing purpose separately when consent is the basis for using appointment information.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-12,1b2f2025c02119dd80f94234558870616023f8da6ae6394bf2f889ee0d7acc90,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(c),6,the type of personal data that is collected and used,What should AfyaPlus staff in Kenya do when a patient asks what appointment data consent covers?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks what appointment data consent covers?",Explain the types of personal data collected and used for the consent-based appointment process.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-13,df7788b03186be2ea229038ea9bd787516577f09d7758cf2722950463e1feb1d,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(f),6,whether the personal data processed shall be shared with third parties,What should AfyaPlus staff in Kenya do when a scheduling consent notice omits third-party sharing?,"At an AfyaPlus facility in Kenya, how should staff handle this: a scheduling consent notice omits third-party sharing?",Include whether personal data will be shared with third parties before seeking consent for that processing.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-14,c1ec9258ccda3f70bc45698479af7f8923d6e9ccca7de396f92fdd3b6e35924b,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(g),6,the right to withdraw consent,What should AfyaPlus staff in Kenya do when a patient asks whether appointment-data consent can be withdrawn?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks whether appointment-data consent can be withdrawn?",Explain the right to withdraw consent and route a withdrawal request to the team responsible for the relevant processing.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-15,ea392c953a11a26df2d4087ef89ffbeaecbc49ad5eae3d14160f11657301874b,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(h),6,"the implications of providing, withholding or withdrawing consent",What should AfyaPlus staff in Kenya do when a patient is uncertain about giving optional scheduling-data consent?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient is uncertain about giving optional scheduling-data consent?","Explain the implications of giving, withholding or withdrawing that consent without pressuring the patient.",approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-16,993c9fcdd43b229fec099b4cb1b6dee4089e2796f0743e25805c6a45ead976b9,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(2),7,"written notice, oral statement, audio or video message",What should AfyaPlus staff in Kenya do when the team is choosing how to communicate a consent notice?,"At an AfyaPlus facility in Kenya, how should staff handle this: the team is choosing how to communicate a consent notice?","Use an accessible notice format; the regulations allow written, oral, audio or video communication of consent information.",approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-17,13c6db7a552e3d852658fbb00757dfd22007a36bf5a8d87790cea65aec1e6301,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(3)(a),7,data subject has capacity to give consent,What should AfyaPlus staff in Kenya do when a scheduler is unsure whether a person can give data-processing consent?,"At an AfyaPlus facility in Kenya, how should staff handle this: a scheduler is unsure whether a person can give data-processing consent?",Refer the capacity question to the responsible team before relying on consent; do not make a clinical capacity assessment at reception.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-18,077d71be7e6ddc3b5b5bea0a3375031f77e4e4770b2b47b57fc4cd81c4dcf800,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(3)(b),7,data subject voluntarily gives consent,What should AfyaPlus staff in Kenya do when patients feel pressured to agree to optional appointment-data use?,"At an AfyaPlus facility in Kenya, how should staff handle this: patients feel pressured to agree to optional appointment-data use?",Ensure consent is voluntary; refer pressure or coercion concerns to the responsible privacy team.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-19,fcc0b3d4e31c6f6bbbe6dbd79a3e5a145e41f319502e26d374f64c57edccec6e,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(3)(c),7,consent is specific to the purpose of processing,What should AfyaPlus staff in Kenya do when a scheduler wants to reuse general consent for a new task?,"At an AfyaPlus facility in Kenya, how should staff handle this: a scheduler wants to reuse general consent for a new task?",Confirm that consent specifically covers the proposed processing purpose before relying on it.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-20,a0be50483015d77b6abac8fffa22c9fccdf1c910effab35c4e59c036ef402319,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(4)(a),7,it is presumed on the basis that the data subject did not object,What should AfyaPlus staff in Kenya do when a scheduler treats silence as agreement to optional messaging?,"At an AfyaPlus facility in Kenya, how should staff handle this: a scheduler treats silence as agreement to optional messaging?",Do not presume consent merely because the patient did not object to the proposed processing.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-21,763ce77ab4bb451a1a1e70dd6d29c40b741a493912769bd876a3c2d7c608c75d,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(4)(b),7,it is presented as a non-negotiable part,What should AfyaPlus staff in Kenya do when a form makes optional data consent non-negotiable?,"At an AfyaPlus facility in Kenya, how should staff handle this: a form makes optional data consent non-negotiable?",Refer the form for correction; presenting consent as non-negotiable undermines freely given consent.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-22,2e55b32eb0d2ddf4f0d9843f0512946e2f751043096feb6f09647dbdd5b28415,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(4)(c),7,the data subject is unable to refuse or withdraw their consent without detriment,What should AfyaPlus staff in Kenya do when a patient fears a penalty for refusing optional data use?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient fears a penalty for refusing optional data use?",Escalate the consent design for review when refusal or withdrawal would cause detriment.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-23,cc6d38ba267c1a245d1fed3064b421bc21bfb66772038c8758a5731e9eba36bb,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(4)(d),7,merges several purposes for processing without seeking,What should AfyaPlus staff in Kenya do when scheduling and promotional purposes are bundled together?,"At an AfyaPlus facility in Kenya, how should staff handle this: scheduling and promotional purposes are bundled together?",Separate the processing purposes and seek specific consent for each purpose when relying on consent.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-24,ecf4defbec4bd83872acd74d1e4b8391ec6dc692e1b32d0add0aa87af9f937b3,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(4)(e),7,the intention of the data subject is ambiguous,What should AfyaPlus staff in Kenya do when a patient's reply about optional messages is unclear?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient's reply about optional messages is unclear?",Clarify the patient's intention before treating an ambiguous reply as consent.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-25,1b527c26076321e9610305bbf13f6c240a06c5991cc13900bb1a7d4e5c833328,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(5),7,restrict the part of the processing in respect of which consent is withdrawn,What should AfyaPlus staff in Kenya do when a patient withdraws consent to one optional appointment-data use?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient withdraws consent to one optional appointment-data use?","Route the withdrawal for restriction of the affected processing, subject to the applicable statutory exceptions; do not assume all healthcare records must be deleted.",approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-01,3cd8028897530cb4c98ef6785e6a433e63e8c1d3ae0593b3635fe9738406e1f3,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(a),14,processed in accordance with the right to privacy,What should AfyaPlus staff in Kenya do when a registration process exposes personal details unnecessarily?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration process exposes personal details unnecessarily?",Arrange registration in a way that respects the patient's privacy and refer the exposure for correction.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-02,de248ae26ffd585f72826fdb8c3329ce8f9fdb45e38a5d1204a3570d37d615ed,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(b),14,"processed lawfully, fairly and in a transparent manner",What should AfyaPlus staff in Kenya do when a registration practice is unclear to patients?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration practice is unclear to patients?","Have the responsible team ensure that the processing is lawful, fair and transparent to patients.",approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-03,c8d3002498b65f36826388fdda92a3104e285a66770546cd251551fca10fdcc7,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(c),14,"collected for explicit, specified and legitimate purposes",What should AfyaPlus staff in Kenya do when a new registration field has no defined purpose?,"At an AfyaPlus facility in Kenya, how should staff handle this: a new registration field has no defined purpose?",Ask the data owner to define a specific legitimate purpose before collecting the additional information.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-04,684315b3ff0ebb94451ec33ebb55782ed5b623b26ea7de4313eb6416c3dc3a54,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(d),14,"adequate, relevant, limited to what is necessary",What should AfyaPlus staff in Kenya do when a registration form requests excessive information?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration form requests excessive information?",Limit collection to information necessary and relevant to the stated registration purpose.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-05,3f7488cca989c2f67b3a37a4548399ed15bdfe3ab57ef87a2720b959ac6880ee,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(e),14,valid explanation is provided whenever information relating to family,What should AfyaPlus staff in Kenya do when a form asks about private family affairs?,"At an AfyaPlus facility in Kenya, how should staff handle this: a form asks about private family affairs?",Provide a valid explanation for requiring family or private information and refer unnecessary questions for removal.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-06,75cb150d4b2f11066eb3aac105ab8aa19a85ab95332c2e30f62176ef695cb6fb,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(f),14,"accurate and, where necessary, kept up to date",What should AfyaPlus staff in Kenya do when a patient reports outdated registration details?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient reports outdated registration details?",Route the correction promptly so the responsible records team keeps personal information accurate and up to date.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-07,fc9f3bb399c4c891eb80f489fbd0d1cf35ec9fd27829f5b80dcfc1d80faf52ee,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,25(g),14,no longer than is necessary for the purposes,What should AfyaPlus staff in Kenya do when the team proposes keeping identifiable registration data forever?,"At an AfyaPlus facility in Kenya, how should staff handle this: the team proposes keeping identifiable registration data forever?",Apply the approved purpose-based retention process rather than indefinite retention by default.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-08,77a5f23285dee98522c2a58120073fbebf3d95970b72f1794936f7fef214e26f,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,26(a),15,to be informed of the use to which their personal data,What should AfyaPlus staff in Kenya do when a patient asks why registration information is used?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks why registration information is used?",Explain the intended uses of the patient's personal data or connect them with the responsible data team.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-09,f7f7826a69b5f731ddafd5cf1cbd4fecd2f5b4128adb7beea0ce06bd42219a7a,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,26(b),15,to access their personal data in custody,What should AfyaPlus staff in Kenya do when a patient wants access to their registration record?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient wants access to their registration record?",Route the request through the facility's data-access process rather than dismissing the patient's access right.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-10,93564c0f4340129f880bc665ab8b5979b8d829c7cc334585d9841b2419961563,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,26(c),15,to object to the processing of all or part,What should AfyaPlus staff in Kenya do when a patient objects to a registration-data use?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient objects to a registration-data use?",Record and route the objection to the responsible data team for assessment under the applicable process.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-11,661fc47d60f423a7762e9e1e59e3946e2ab18c143a42f468afa53b3ee2fdd6e2,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,26(d),15,to correction of false or misleading data,What should AfyaPlus staff in Kenya do when a patient identifies misleading information in their record?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient identifies misleading information in their record?",Help the patient submit a correction request to the responsible records team.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-12,a22bf5fe875b357973fd056454cff143db202dae1f27314ab5727d6ec124d730,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,26(e),15,to deletion of false or misleading data about them,What should AfyaPlus staff in Kenya do when a patient asks to delete false information?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks to delete false information?",Route the deletion request to the responsible data team; do not promise unrestricted deletion of the entire health record.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-13,7295c16cf625e7b16e70628b4e9acfad6de006850a4f24ad9ac2ae11b35cdd61,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,27(a),15,where the data subject is a minor,What should AfyaPlus staff in Kenya do when a guardian seeks to exercise a child's data rights?,"At an AfyaPlus facility in Kenya, how should staff handle this: a guardian seeks to exercise a child's data rights?",Use the representative-rights process to establish parental authority or guardianship before handling the child's request.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-14,7ae664a6ab46c2d8fe264813028c8cf72149310c2539fd8678714fdf74cde871,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,27(b),15,person duly authorised to act as their guardian or administrator,What should AfyaPlus staff in Kenya do when a representative requests records for a person with a disability?,"At an AfyaPlus facility in Kenya, how should staff handle this: a representative requests records for a person with a disability?",Establish the representative's authority as guardian or administrator through the responsible team; do not assume disability alone removes the person's rights.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-15,254aae9bdeab83d8bd2fbc480263927a48944249f79eb587994aa2064a3e9c5d,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,27(c),15,person duly authorised by the data subject,What should AfyaPlus staff in Kenya do when a patient appoints someone to make a data-rights request?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient appoints someone to make a data-rights request?",Verify the representative's authorization through the facility's process before handling the request on the patient's behalf.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-16,171fd83d25d7ffd886a5587d6a8faaf22ab8302de82438d87a744c24f19498b9,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,28(1),15,collect personal data directly from the data subject,What should AfyaPlus staff in Kenya do when a registrar chooses where to obtain patient information?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registrar chooses where to obtain patient information?",Collect information directly from the patient as the default; refer proposed exceptions for assessment rather than assuming indirect collection is always permitted.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-17,a759a5b5467519d9f6a84be3969f4e1a7ebb594853c3d72136120b03aab370f6,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,28(2)(c),15,consented to the collection from another source,What should AfyaPlus staff in Kenya do when a registrar proposes obtaining information from another source with consent?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registrar proposes obtaining information from another source with consent?",Confirm the patient's consent covers collection from that source and use the approved collection process.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-18,cbc97ed643d5f22f323513f9c5cc7b0cac805ee0749d2cdf8b68271a247858a8,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(a),15,the rights of data subject specified under section 26,What should AfyaPlus staff in Kenya do when a registration notice omits patient data rights?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration notice omits patient data rights?",Include information about the patient's data rights in the pre-collection notice where practicable.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-19,96b7d45e60c7b3d9f4f0272e44c07d3562dbb16401103452968011ecebd80764,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(b),15,the fact that personal data is being collected,What should AfyaPlus staff in Kenya do when a registration process silently collects personal information?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration process silently collects personal information?",Make the collection apparent to the patient before collecting the information where practicable.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-20,e625a7118ff79bdcb075fea93d1ef3e36e10ec66ad670ed6cb2261f1fdbcdf70,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(c),15,the purpose for which the personal data is being collected,What should AfyaPlus staff in Kenya do when a patient asks the purpose of a registration request?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks the purpose of a registration request?",Explain the collection purpose before collecting the requested information where practicable.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-21,16378f71da1ca645d45c7e7d214301615cab65445e74208d6a1dd7eac8cf37ff,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(d),16,the third parties whose personal data has been or will be transferred,What should AfyaPlus staff in Kenya do when a registration notice leaves out recipients and safeguards?,"At an AfyaPlus facility in Kenya, how should staff handle this: a registration notice leaves out recipients and safeguards?",Have the responsible team include the relevant third-party transfer information and safeguards in the notice.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-22,c6f77cdcbec6b9cf8a1dd37c05adf8dd9f0b5fbade454c3e1d63031694cb42a9,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(e),16,the contacts of the data controller or data processor,What should AfyaPlus staff in Kenya do when a patient cannot identify whom to contact about registration data?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient cannot identify whom to contact about registration data?",Provide the responsible controller or processor contact information and explain whether another entity may receive the data.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-23,8e2228f0f0fba065222df8a428065138d7391ca9db5d914adb95bfc60a5f4556,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(f),16,a description of the technical and organizational security measures,What should AfyaPlus staff in Kenya do when a patient asks how collected registration information is protected?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks how collected registration information is protected?",Provide the approved description of organizational and technical safeguards rather than inventing security guarantees.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
registration-24,cf4f6a95dc93f87ab1540d50b9700404ea2fd4f4f5ccf81a75fda46ea4b7b9ef,https://new.kenyalaw.org/akn/ke/act/2019/24/eng@2022-12-31/source,29(g),16,whether such collection is voluntary or mandatory,What should AfyaPlus staff in Kenya do when a patient asks whether a registration field is compulsory?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks whether a registration field is compulsory?",Explain the applicable basis and whether collection is voluntary or mandatory; refer uncertain requirements to the responsible team.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
